Group,Method,Path,Purpose,Auth/Role,Key Request,Key Response,Notes
Customer Dashboard > Applications > Attestation,POST,/api/loan-applications/{id}/complete-attestation,Customer completes attestation step,Bearer user,"attestationType [IMMEDIATE|MEETING]; attestationVideoWatched; attestationTermsAccepted",LoanApplication,
Customer Dashboard > Applications > Attestation,POST,/api/loan-applications/{id}/request-live-call,Request live video call attestation,Bearer user,"attestationType=MEETING; reason?",LoanApplication,
Admin Panel > Applications > Attestations,GET,/api/admin/applications/live-attestations,List pending live attestation requests,Bearer admin/attestor,,"LoanApplication[]",
Admin Panel > Applications > Attestations,POST,/api/admin/applications/{id}/complete-live-attestation,Complete live video call for application,Bearer admin/attestor,"notes?; meetingCompletedAt (ISO datetime)",LoanApplication,
Admin Panel > Applications > Attestations,POST,/api/admin/applications/{id}/complete-attestation,Admin marks attestation as completed,Bearer admin,"attestationType; attestationNotes?; attestationVideoWatched; attestationTermsAccepted; meetingCompletedAt?",LoanApplication,
Customer Dashboard > Applications > KYC (CTOS),POST,/api/kyc/start-ctos,Start CTOS eKYC verification for user,Bearer user + phone verified,"documentName; documentNumber; platform?; applicationId?","success; kycId; onboardingUrl; onboardingId; kycToken; expiredAt",Creates CTOS transaction and returns redirect URL
Customer Dashboard > Applications > KYC (CTOS),GET,/api/kyc/{kycId}/ctos-status,Poll CTOS verification status,Bearer user + phone verified OR KYC token,path: kycId,"success; status [IN_PROGRESS|APPROVED|REJECTED]; ctosStatus; ctosResult; completedAt?",Real-time status polling with cache-busting headers
Customer Dashboard > Profile > KYC (CTOS),GET,/api/kyc/user-ctos-status,Get user's overall CTOS KYC status,Bearer user + phone verified,,"success; hasKycSession; status; ctosStatus; ctosResult; isAlreadyApproved; canRetry?",Comprehensive KYC status for profile/dashboard
Customer Dashboard > Profile > KYC (CTOS),GET,/api/kyc/user-documents,Get user's approved KYC documents,Bearer user + phone verified,,"success; hasDocuments; documents[]; sessionId?",Returns approved CTOS documents with base64 images
Customer Dashboard > Profile > KYC (CTOS),GET,/api/kyc/session-status/{kycSessionId},Lightweight KYC session status check,Bearer user + phone verified,path: kycSessionId,"success; status; ctosResult; isApproved; isCompleted",Database-only status check for fast polling
Customer Dashboard > Applications > KYC (CTOS),POST,/api/kyc/{kycId}/accept,Accept CTOS KYC results and update profile,Bearer user + phone verified OR KYC token,path: kycId,"user profile data; kycId; applicationUpdated; applicationId?",Updates user profile with CTOS data and advances application
System > Webhooks,POST,/api/ctos/webhook,CTOS webhook callback for status updates,None,"CTOS webhook payload","Processed","Backend-only; updates KYC session status and stores documents"
Customer Dashboard > Applications > Signing,POST,/api/docuseal/initiate-application-signing,Initiate signing for loan application in PENDING_SIGNATURE,Bearer user,applicationId,"submissionId; signUrl; status [pending|completed|expired]","Returns existing session if already created"
Customer Dashboard > Loans > Signing,POST,/api/docuseal/initiate-loan-signing,Initiate signing for APPROVED loan,Bearer user,loanId,"submissionId; signUrl; status","PKI orchestrator triggered on form completion"
Customer Dashboard > Applications > Signing,GET,/api/docuseal/submission/{submissionId},Get DocuSeal submission status,Bearer user,path: submissionId,Status,
Customer Dashboard > Applications > Signing,GET,/api/docuseal/download/{submissionId},Get signed agreement download URL,Bearer user,path: submissionId,Download URL,Requires agreement signed
System > Webhooks,POST,/api/docuseal/webhook,DocuSeal webhook callback,None,provider payload,Processed,Backend-only; forwards to signing orchestrator
Customer Dashboard > Applications > Signing,POST,/api/pki/check-certificate,Check user's PKI certificate status,Bearer user,"userId; submissionId?","certificateExists; status [active|expired|revoked|not_found]; expiryDate?","User can only check own cert"
Customer Dashboard > Applications > Signing,POST,/api/pki/request-otp,Request OTP for PKI signing,Bearer user,"userId; email; submissionId?","otpId; expiresIn; deliveryMethod",
Customer Dashboard > Applications > Signing,POST,/api/pki/complete-signing,Complete PKI signing with OTP,Bearer user,"sessionId; otp (6 digits)",Completed,
Customer Dashboard > Applications > Signing,POST,/api/pki/sign-pdf,Sign DocuSeal PDF with PKI,Bearer user,"userId; otp (6 digits); submissionId; applicationId?",Signed,"Access limited to own account"
Customer Dashboard > Applications > Signing,GET,/api/pki/session/{sessionId},Get PKI session status,Bearer user,path: sessionId,Session status,
Customer Dashboard > Applications > PKI/MTSA,GET,/api/mtsa/cert-info/{userId},Get MTSA certificate info,Bearer user,path: userId (IC),Certificate info,
Customer Dashboard > Applications > PKI/MTSA,POST,/api/mtsa/request-otp,Request OTP for enrollment or signing,Bearer user,"userId; usage [DS|NU]; emailAddress? (for NU)",OTP sent,
Customer Dashboard > Applications > PKI/MTSA,POST,/api/mtsa/verify-otp,Verify OTP for signing,Bearer user,"userId; otp (6 digits)",Verified,
Customer Dashboard > Applications > PKI/MTSA,POST,/api/mtsa/request-certificate,Enroll digital certificate with KYC images,Bearer user,"userId; fullName; emailAddress; mobileNo; authFactor (OTP); nricFrontUrl; nricBackUrl; selfieImageUrl; nationality?; userType?; idType?; verificationData?",Enrollment processed,Base64 data URLs expected
Admin Panel > Applications > Signing,POST,/api/admin/applications/pin-sign,Sign document with PIN (company/witness),Bearer admin/attestor,"applicationId; signatoryId; pin; signatoryType",Signed,
Customer Dashboard > Apply > Product Selection,GET,/api/products,Get all available loan products,Bearer user,,"Product[]",Returns active products with details like minAmount/maxAmount/interestRate/fees
Customer Dashboard > Apply > Product Selection,GET,/api/products?code={productCode},Get specific product by code,Bearer user,query: productCode,Product,Returns detailed product information for selected product
Customer Dashboard > Apply > Product Selection,POST,/api/loan-applications,Create new loan application,Bearer user,"productId; appStep=2; product (optional)","LoanApplication with id",Creates initial application with selected product
Customer Dashboard > Apply > Product Selection,PATCH,/api/loan-applications/{id},Update existing application with product selection,Bearer user,"productId; appStep=2; interestRate; originationFee; legalFee; applicationFee; status=INCOMPLETE",LoanApplication,Updates application when changing product selection
Customer Dashboard > Apply > Application Details,GET,/api/loan-applications/{id},Get existing application data for pre-filling,Bearer user,path: applicationId,LoanApplication,Loads saved application data to resume flow
Customer Dashboard > Apply > Application Details,PATCH,/api/loan-applications/{id},Update application with loan details,Bearer user,"amount; term; purpose; monthlyRepayment; interestRate; legalFee; originationFee; netDisbursement; appStep=3",LoanApplication,Saves loan amount/term/purpose and calculated fees
Customer Dashboard > Apply > Personal Info,GET,/api/users/me,Get user personal information,Bearer user,,User profile data,Loads user data for verification step
Customer Dashboard > Apply > Personal Info,PUT,/api/users/me,Update user personal information,Bearer user,"fullName; email; phoneNumber; employmentStatus; employerName; monthlyIncome; serviceLength; address1; address2; city; state; zipCode",Updated user data,Updates user profile with verified information
Customer Dashboard > Apply > Personal Info,PATCH,/api/loan-applications/{id}/step,Update application step after personal info,Bearer user,"appStep=4",LoanApplication,Advances application to document upload step
Customer Dashboard > Apply > Documents,GET,/api/loan-applications/{id}/documents,Get existing uploaded documents,Bearer user,path: applicationId,"Document[]",Returns previously uploaded documents for the application
Customer Dashboard > Apply > Documents,POST,/api/loan-applications/{id}/documents,Upload documents for application,Bearer user,"documents (multipart); documentTypes (JSON array)",Uploaded documents array,Uploads multiple files with their document types
Customer Dashboard > Apply > Documents,DELETE,/api/loan-applications/{id}/documents/{documentId},Delete uploaded document,Bearer user,path: applicationId and documentId,Success message,Removes specific document from application
Customer Dashboard > Apply > Documents,GET,/api/users/me/documents,Get user's previous documents for reuse,Bearer user,,"PreviousDocument[]",Returns user's previously uploaded documents for linking
Customer Dashboard > Apply > Documents,POST,/api/loan-applications/{id}/link-documents,Link previous documents to current application,Bearer user,"documentIds (array); documentTypes (array)","LinkedDocument[]",Links existing user documents to current application
Customer Dashboard > Apply > Documents,PATCH,/api/loan-applications/{id},Update application step after documents,Bearer user,"appStep=5",LoanApplication,Advances application to review step (or skips if no docs required)
Customer Dashboard > Apply > Review & Submit,GET,/api/loan-applications/{id},Get complete application data for review,Bearer user,path: applicationId,Complete LoanApplication with product/documents,Loads all application data for final review
Customer Dashboard > Apply > Review & Submit,PATCH,/api/loan-applications/{id},Submit final application,Bearer user,"acceptTerms=true; status=[PENDING_APPROVAL|COLLATERAL_REVIEW]; appStep=5",LoanApplication,Completes application submission with terms acceptance
Customer Dashboard > Apply > Step Management,PATCH,/api/loan-applications/{id}/step,Update current application step,Bearer user,"step (1-5)",LoanApplication,Updates appStep for navigation and progress tracking
Customer Dashboard > Apply > Step Management,DELETE,/api/loan-applications/{id},Delete incomplete application,Bearer user,path: applicationId,Success message,Allows deletion of incomplete applications only
Customer Dashboard > Apply > Document Preview,GET,/api/loan-applications/{id}/documents/{documentId},View/download uploaded document,Bearer user,path: applicationId and documentId,File stream,Returns document file for viewing/downloading
